Date,Tasks,Category,Time,Task Code,Portfolio,Impact,Role Expectations,Notes, Sr. Director Comments
"November 20, 2025",Created diary to provide perspective of my focus and impact,Doer,15 min,General Admin,Assortment,Medium,Personal or Professional Growth,Relearned some excel tips and started think how this tool might help me prioritize the work or types of work I am doing. I have shared this with the PD Managers.,
"November 20, 2025",Item Availability Whiteboarding Session,Collaborator,2 hr,ProjEx — OKR / Discovery & Agile Ceremonies,Assortment,High,Focus on the why and the what,Contributed to the conversation to help define discovery; supported note taking and organizing of the discussion content. Helped defined space for Goals; Now>Next>Later,
"November 20, 2025",Assortment Experience Overview w/ 3-year Roadmap,Enabler,1 hr,ProjEx — OKR / Discovery & Agile Ceremonies,Assortment,High,Strategy documentation and communication,"Presentation Design Review and Storytelling support with Krista Carter. This presentation will be used by Jon, Rick, and I as we provide context of our space and support Capital Discussions.",
"November 20, 2025",AI Driver's License (Continue),Doer,30 min,Training — Corp / Personal Dev,Other,Medium,Personal or Professional Growth,"Coninuting through Generative AI Foundations (Pluralsight). It is ok from a general training. I feel the courses I took through Coursera/Vanderbilt were more informative and had examples or direct application for my role (What it is, Prompt Engineering, Problem Framing, Deep Research, Synthesis, and Product Req. Doc creation)",
"November 20, 2025","1:1s (Lia, Nina, Colin, Miranda, David)",Enabler,2 hr,General Admin,S/I/A,Medium,Capacity multiplication,"Supporting the understanding of the work; the product strategy; Recaps from Effort Estimation; Coaching & mentorship (FTEs), Cascade (and/or) reiterate Information from HR/Leadership",
"November 20, 2025",MX CapX Review,Collaborator,30 min,General Admin,S/I/A,Low,Finance and Accounting,Review Capx - Discuss Plans,
Week of 11/24,,,,,,,,,
"November 24, 2025",1:1s (Michelle P),Facilitator,1.5 hr,General Admin,Assortment,High,Capacity multiplication,Supporting Michelle in Assortment and PM/PD Partnerships,
"November 24, 2025",Discovery Process,Collaborator,1.5 hr,ProjEx — OKR / Discovery & Agile Ceremonies,MX/SC,Medium,Focus on the why and the what,"Set a framework for discovery (Planning, process, outcomes, training)",
"November 24, 2025",1:1s (Liane - KTD Mentee Connect),Enabler,1.5 hr,General Admin,Other,High,Capacity multiplication,Mentor/Mentee 1st Connect,
"November 24, 2025",Assortment Leads Meeting,Collaborator,30 min,General Admin,Assortment,Medium,Build bridges not silos,"Connecting with Jon and Rick on Budget, Strategy, Needs for Assortment.",
"November 24, 2025",SACP - Strategic Assort. Channel Planning — Sprint Review,Collaborator,1 hr,ProjEx — OKR / Discovery & Agile Ceremonies,Assortment,Low,Focus on the why and the what,Review Sprint progress and updates for next sprint. Focusing on needs to ensure we finish the quarter strong. Seeking clarity on PD resource needs for UI and Change Management.,
"November 24, 2025",S/I/A - Admin / Org & Management,Doer,30 min,ProjEx — OKR / Discovery & Agile Ceremonies,S/I/A,Medium,Focus on the why and the what,"Reviewing and working on tasks & asks.
- Effort Estimation & confirming [Design] Epics are in Productboard
- Team & Resource planning - catching up on poss. team impacts
- Review Timesheets, ProjExp & Capital tasks & Admin
- PD/UR All Hands - confirm speakers for MX/SC & Shared Services
- Contractor Renewal (avoid termination from network)",
"November 24, 2025",Item Roadmap - Early Discussions,Collaborator,15 min,ProjEx — OKR / Discovery & Agile Ceremonies,Item,High,Strategy documentation and communication,"Early discussions coming out of Capital Discussions and Discovery Framework. HMW see the bigger picture of Item? (What are we doing, why, impact, prioritization, team planning, project scoping)",
"November 24, 2025",Assortment Analytics,Enabler,15 min,Capital Expenses — The Work/Flows/Prototype,Assortment,Medium,Direction not delivery,"Backlog and goal understanding, working with Jeremy Harkins (PM) to map needs to resources. Scheduled a meeting for Dec 3 w/Rob, Matt, Jeremy, Andrew to align resources to needs.",
"November 25, 2025",Item Watchtower Sprint Review,Enabler,30 min,ProjEx — OKR / Discovery & Agile Ceremonies,Item,Medium,Focus on the why and the what,Item Watchtower Sprint Review - Uplift and celebrate the wins -,
"November 25, 2025",Assortment - Storytelling,Collaborator,30 min,Capital Expenses — The Work/Flows/Prototype,Assortment,Medium,Strategy documentation and communication,"Collaborating and contributing to help storytelling of the Assortment portfolio. Reviewing content, providing guidance and support on content and visuals.",
"November 25, 2025",Org Planning - Capactiy,Doer,30 min,General Admin,S/I/A,High,Capacity multiplication,"Getting a step ahead on looking across all the teams. We are already shared resources across teams and the ask is for more PDs to support Item Data or even help facilitate all Discoveries in Item (I need to show a view of team resource allocation, capacity as well as resource need/fit.",
"November 25, 2025","Completed Courses in Pluralsight
• Excel Foundations
• Excel Copilot",Doer,1 hr,Training — Corp / Personal Dev,Other,High,Personal or Professional Growth,"This is a course I started early in the year as my PMs and Eng leads use Excel to communicate (Capacity, Funding, etc). I have wanted a way to get a refresher to help with my ability to contribute or communicate in Excel, as well use Copilot AI in Excel",
